latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.41059,-155.27251,337.43,0.45,0.63,2026-08-30,0022,N20,nominal,2.0NRT,295.92,7.95,D
20.77063,-76.39802,312.82,0.44,0.62,2026-08-30,0605,N20,nominal,2.0NRT,286.51,0.5,N
39.95513,-74.77044,298.45,0.52,0.67,2026-08-30,0559,N20,nominal,2.0NRT,286.34,0.09,N
48.18626,-64.92241,304.56,0.4,0.44,2026-08-30,0557,N20,nominal,2.0NRT,284.94,1.28,N
20.76929,-76.39724,305.38,0.44,0.62,2026-08-30,0605,N20,nominal,2.0NRT,285.5,0.3,N
39.94232,-76.81709,297.77,0.67,0.74,2026-08-30,0559,N20,nominal,2.0NRT,283.63,1.37,N
45.78292,-73.91495,295.3,0.51,0.66,2026-08-30,0559,N20,nominal,2.0NRT,284.29,0.19,N
20.65303,-76.33384,311.64,0.43,0.62,2026-08-30,0605,N20,nominal,2.0NRT,288.03,1.91,N
39.591,-75.63831,307.68,0.58,0.7,2026-08-30,0601,N20,nominal,2.0NRT,288.88,1.99,N
45.34115,-73.52763,299.53,0.49,0.65,2026-08-30,0559,N20,nominal,2.0NRT,285.72,0.6,N
20.65714,-76.33334,306.64,0.43,0.62,2026-08-30,0605,N20,nominal,2.0NRT,287.94,1.51,N
39.59047,-75.6391,307.86,0.58,0.7,2026-08-30,0601,N20,nominal,2.0NRT,287.93,1.71,N
45.33942,-73.52551,299.32,0.49,0.65,2026-08-30,0559,N20,nominal,2.0NRT,286.01,0.69,N
20.65672,-76.32915,309.01,0.43,0.62,2026-08-30,0605,N20,nominal,2.0NRT,288.14,1.59,N
36.35761,-76.81046,299.24,0.64,0.72,2026-08-30,0601,N20,nominal,2.0NRT,272.24,1.38,N
45.11543,-73.01181,299.95,0.46,0.63,2026-08-30,0559,N20,nominal,2.0NRT,286.54,0.78,N
20.4894,-74.97261,310.06,0.35,0.57,2026-08-30,0605,N20,nominal,2.0NRT,288.96,0.68,N
45.11112,-73.01377,305.48,0.46,0.63,2026-08-30,0559,N20,nominal,2.0NRT,286.25,0.83,N
20.48414,-74.97295,302.15,0.35,0.57,2026-08-30,0605,N20,nominal,2.0NRT,289.98,1.2,N
20.48379,-74.96957,307.25,0.35,0.57,2026-08-30,0605,N20,nominal,2.0NRT,290.49,1.2,N
20.48348,-74.96671,316.87,0.35,0.57,2026-08-30,0605,N20,nominal,2.0NRT,290.81,1.85,N
20.47821,-74.96693,328.48,0.35,0.57,2026-08-30,0605,N20,nominal,2.0NRT,290.93,1.85,N
20.47853,-74.96998,307.13,0.35,0.57,2026-08-30,0605,N20,nominal,2.0NRT,289.99,1.2,N
20.47789,-74.96397,301.2,0.35,0.57,2026-08-30,0605,N20,nominal,2.0NRT,290.51,1.85,N
20.46799,-74.97055,321.42,0.35,0.57,2026-08-30,0605,N20,nominal,2.0NRT,290.65,2.36,N
20.27393,-75.20108,318.91,0.36,0.58,2026-08-30,0605,N20,nominal,2.0NRT,289.76,1.44,N
20.27358,-75.19775,307.62,0.36,0.57,2026-08-30,0605,N20,nominal,2.0NRT,290.35,1.44,N
19.6762,-71.70168,308.07,0.42,0.45,2026-08-30,0605,N20,nominal,2.0NRT,293.48,1.1,N
20.08569,-76.37832,300.82,0.43,0.62,2026-08-30,0605,N20,nominal,2.0NRT,289.22,0.71,N
19.4478,-71.59796,320.31,0.41,0.45,2026-08-30,0605,N20,nominal,2.0NRT,292.73,2,N
19.44836,-71.60233,315.12,0.41,0.45,2026-08-30,0605,N20,nominal,2.0NRT,292.49,1.81,N
19.44728,-71.59385,316.65,0.41,0.45,2026-08-30,0605,N20,nominal,2.0NRT,292.73,2,N
18.63866,-69.25949,325.23,0.46,0.39,2026-08-30,0605,N20,nominal,2.0NRT,294.01,2.37,N
18.89232,-71.40257,308.15,0.4,0.44,2026-08-30,0605,N20,nominal,2.0NRT,292.61,1.1,N
18.6458,-71.54595,298.75,0.4,0.44,2026-08-30,0605,N20,nominal,2.0NRT,287.32,0.95,N
18.44415,-70.61391,309.86,0.53,0.42,2026-08-30,0605,N20,nominal,2.0NRT,295.79,3.58,N
18.32184,-71.37971,315.1,0.39,0.44,2026-08-30,0605,N20,nominal,2.0NRT,294.19,3.58,N
18.378,-77.23956,303.76,0.47,0.64,2026-08-30,0608,N20,nominal,2.0NRT,290.53,1.33,N
18.37758,-77.2354,310.86,0.47,0.64,2026-08-30,0608,N20,nominal,2.0NRT,290.36,1.3,N
17.99358,-76.54526,349.41,0.42,0.61,2026-08-30,0608,N20,nominal,2.0NRT,293.3,7.82,N
17.99397,-76.54887,308.85,0.42,0.61,2026-08-30,0608,N20,nominal,2.0NRT,291.8,3.67,N
40.73367,-86.43296,300.2,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,285.66,0.67,N
41.32229,-92.5983,321.94,0.43,0.46,2026-08-30,0741,N20,nominal,2.0NRT,290.83,1.98,N
39.41785,-80.33033,308.75,0.52,0.42,2026-08-30,0741,N20,nominal,2.0NRT,287.62,1.02,N
39.97633,-86.83831,329.32,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,287.94,2.07,N
39.97567,-86.83376,304.34,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,288.72,2.07,N
40.01251,-87.23274,303.91,0.4,0.37,2026-08-30,0741,N20,nominal,2.0NRT,285.4,0.62,N
39.87666,-86.48586,314.66,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,291.14,1.62,N
39.46852,-84.38437,310.93,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,280.03,1.28,N
39.08683,-82.33089,305.72,0.44,0.38,2026-08-30,0741,N20,nominal,2.0NRT,289.15,0.94,N
38.5963,-82.83202,313.65,0.43,0.38,2026-08-30,0741,N20,nominal,2.0NRT,293.38,1.54,N
38.83391,-84.76073,303.11,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,290.02,0.61,N
38.62087,-83.6702,307.02,0.41,0.37,2026-08-30,0741,N20,nominal,2.0NRT,289.87,1.12,N
38.72266,-85.07991,304.55,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,290.71,0.48,N
38.71938,-85.0808,302.53,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,290.18,0.48,N
38.98193,-87.01303,302.8,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,288.71,0.51,N
38.99892,-87.72469,309.18,0.4,0.37,2026-08-30,0741,N20,nominal,2.0NRT,294.29,0.97,N
38.99557,-87.72546,302.5,0.4,0.37,2026-08-30,0741,N20,nominal,2.0NRT,291.05,0.97,N
38.99158,-87.72166,313.28,0.4,0.37,2026-08-30,0741,N20,nominal,2.0NRT,289.84,1.34,N
38.58727,-85.25394,303.76,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,288.64,0.35,N
38.7409,-86.4557,309.09,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,291.16,0.83,N
